title,genres
Rumble in the Bronx,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]"
Before and After,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
Margaret's Museum,"[{'id': 18, 'name': 'Drama'}]"
Happiness Is in the Field,"[{'id': 35, 'name': 'Comedy'}]"
Anne Frank Remembered,"[{'id': 99, 'name': 'Documentary'}, {'id': 18, 'name': 'Drama'}, {'id': 10769, 'name': 'Foreign'}]"
The Young Poisoner's Handbook,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
If Lucy Fell,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Steal Big Steal Little,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
Race the Sun,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
The Boys of St. Vincent,"[{'id': 18, 'name': 'Drama'}]"
Boomerang,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Chungking Express,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
The Star Maker,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Flirting with Disaster,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
The Neverending Story III: Escape from Fantasia,"[{'id': 14, 'name': 'Fantasy'}]"
The Silences of the Palace,"[{'id': 18, 'name': 'Drama'}]"
Jupiter's Wife,[]
Pie in the Sky,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
Angela,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
Frankie Starlight,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]"
Jade,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]"
Nueba Yol,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Sonic Outlaws,"[{'id': 10402, 'name': 'Music'}, {'id': 99, 'name': 'Documentary'}]"
Down Periscope,"[{'id': 35, 'name': 'Comedy'}]"
From the Journals of Jean Seberg,"[{'id': 99, 'name': 'Documentary'}]"
Man of the Year,"[{'id': 35, 'name': 'Comedy'}]"
The Neon Bible,"[{'id': 18, 'name': 'Drama'}]"
Target,[]
Up Close & Personal,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
The Birdcage,"[{'id': 35, 'name': 'Comedy'}]"
Virgin Mary,"[{'id': 18, 'name': 'Drama'}]"
The Brothers McMullen,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Bad Boys,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
The Amazing Panda Adventure,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}]"
The Basketball Diaries,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
An Awfully Big Adventure,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
Amateur,"[{'id': 80, 'name': 'Crime'}, {'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
Apollo 13,"[{'id': 18, 'name': 'Drama'}]"
Rob Roy,"[{'id': 12, 'name': 'Adventure'}]"
The Addiction,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}]"
Batman Forever,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]"
Belle de Jour,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
Beyond Rangoon,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
